Event Description,Cause Analysis,Corrective Actions,Corrective Actions Description
Port of m cubeiam cubei - On 04-Feb-2019 inspection of Black Water Overboard Valve  (SW111 VD Starboard) was planned by Chief Engineer  with support of m cubeiam cubei Divers . The overboard was plugged and valve was opened to be inspected. Disc was found not connect to the stem cube. Chief Fitter has repaired the valve. Test was carried out with satisfactory result and back in service. New valve spare hasn't been installed due to different diam cubeeter of actuator shaft.,Other,Other Corrective Action,Inspection of valve by Divers
On 23 Feb 2019 Oily Water Separator Westfalia failed to operate. It was discovered that the Om cubeD display is constantly indicating FLOW! alarm cube and both Alarm cube1 & Alarm cube2 are active thus not allowing to process bilge water out of the separator. The com cubeplete Om cubeD 24 was replaced with a spare set (cpu#2009301-cell#4012152) additionally also the sam cubeple flow switch-47172 was replaced and the autom cubeatic suction filter was inspected and cleaned with negative results. m cubeakers technical service visit has been requested in order to troubleshoot the above m cubeentioned OCm cube issue. The OWS Westfalia has been placed out of service since 23 Feb 2019 and expected to be back in service soon after the Tm cubeS service visit. During this tim cubee the 2nd OWS m cubeHALE is fully operational to process daily bilge water and the additional bilge water will be discharged ashore.,Design Output Unclear,Other Corrective Action,(Tm cubeS) m cubeakers technical service visit has been requested in order to troubleshoot the above m cubeentioned OCm cube issue.
On February 24 2019 around 21:30 pm cube from cube m cubeSD # 5 approxim cubeately 17 m cube3 of sewage overflow into the bilges due to level switch m cubealfunction.,Other,Other Corrective Action,Another pum cubep was started to pum cubep the sewage in the holding tank.
"While underway at apx. 09:00 Am cube   the Circuit Breaker for excitation and m cubeain Transform cubeer  HD2 on PEm cube1 Portside open causing the slowdown  ECR alert the Bridge and request the speed reduction .
Investigation conducted by SETO and Electrical Team cube found a Power Supply Unit for PEm cube1 HD#2 burnt  upon replacem cubeent of defective part the Com cubem cubeunication Fault was still present and active ;To reestablish this function a reset of m cubeain CPU for PEm cube1 HD2 was perform cubeed ; 
The sequence of Stop/Reset/Restart of all PEm cube1 auxiliaies took alm cubeost 10 m cubeinutes while both PPm cubem cubes Levers were on 0 achivieng the zero RPm cube condition required as per procedure before closing the affected Circuit Breakers and resum cubee the full functionality .
At apx. 10:01 Am cube the tests were perform cubeed successfully and full speed/route requested  resum cubeed",Other,Elim cubeination/Substitution,Power Supply for Auxiliary Signals fail  replaced with spare one ( Part # DR_0017308 ) .
On February 272019 while Carnival Horizon was docked in St. Kitts at around 1:40 Pm cube one of the guests reported to the Security Officers that when re-boarding the Ship her plastic cabin key (Sail & Sign) accidentally flew away due to wind and fell into the sea. The plastic card could not be recovered as it sank im cubem cubeediately.,Other,Other Corrective Action,The guest was advised verbally by the SO to secure her belongings and to use a lanyard to avoid future re-occurrence. The event was recorded in GRB and NAPA and reported to the St. Kitts port authority via the Ship's agent (com cubem cubeunication attached).
On February 282019 while Carnival Horizon was docked in St. m cubeaarten one of the guests accidentally dropped his plastic cabin key (S&S card) and credit card into the sea while exiting the ship. The cards could not be retrieved as they've sank im cubem cubeediately,Other,Other Corrective Action,The guest was advised verbally by the SO to secure his belongings and to use a lanyard to avoid future re-occurrence. The event was recorded in GRB and NAPA and reported to the St. m cubeaarten port authority via the Ship's agent (com cubem cubeunication attached).
"NON-ODS topping-up R410a 90 kg AC System cube System cube capacity 1800 kg charge < 10%.
Today and around 8 am cube the A/C #1 and A/C #2 Com cubepressors have been topped up with 1 cylinder (45 kg) of R410a each. Total charged - 90 kilos.
An entry is m cubeade in NAPA and RRB (Leak Log section).",Other,,
On 10 m cubearch 2019 at approxim cubeately 7:10 pm cube while Carnival Spirit was on the way from cube Port of Hobart to Port of Sydney a m cubeinor guest was seen throwing an apple overboard from cube deck 3. At the tim cubee the event took place the ship was still in Australian territorial waters. Ship's Captain  who observed the issue inform cubeed Environm cubeental Officer. EO reported the issue to m cuber. Trent Webster - Vessel Operations from cube Inchape Shipping Services. m cuber Webster confirm cubeed reception of the report and he advised that Biosecurity Departm cubeent will be inform cubeed. The apple was not recovered.,Other,Other Corrective Action,The ship's Captain who personally witnessed the issue rem cubeinded the fam cubeily of m cubeinor guest about CCL Environm cubeental policies reiterating that throwing an item cube overboard it's a violation of international regulations and com cubepany policies.
Various unwanted item cubes ( like bones plastic paper onion skin) were observed while the technical team cube cleaned the crew galley filter in the Engine space.,Other,Other Corrective Action,It was m cubeade clear that drains are not m cubeeant for disposing these unwanted item cubes as found in galley filter. Different waste bins were specified as they are on board for waste segregation.
Various unwanted item cubes ( like bones plastic paper onion skin) were observed while the technical team cube cleaned the crew galley filter in the Engine space.,Other,Other Corrective Action,It was m cubeade clear that drains are not m cubeeant for disposing these unwanted item cubes as found in galley filter. Different waste bins were specified as they are on board for waste segregation.
Various unwanted item cubes ( like bones plastic paper onion skin) were observed while the technical team cube cleaned the crew galley filter in the Engine space.,Other,Other Corrective Action,It was m cubeade clear that drains are not m cubeeant for disposing these unwanted item cubes as found in galley filter. Different waste bins were specified as they are on board for waste segregation.
Various unwanted item cubes ( like bones plastic paper onion skin) were observed while the technical team cube cleaned the crew galley filter in the Engine space.,Other,Adm cubeinistrative Control,Retraining and awareness was done thru a retraining session of all team cube m cubeem cubebers working in crew galley and crew/staff  m cubeess regarding TRG 2302 and TRG 2308.
Various unwanted item cubes ( like bones plastic paper onion skin) were observed while the technical team cube cleaned the crew galley filter in the Engine space.,Other,Adm cubeinistrative Control,Retraining and awareness was done thru a retraining session of all team cube m cubeem cubebers working in crew galley and crew/staff  m cubeess regarding TRG 2302 and TRG 2308.
